sum: 617090
see every 3
found me 3
ushered in 3
spent with 3
two as 3
of plan 3
the likeliest 3
the seas 3
The journey 3
glad indeed 3
might marry 3
they wanted 3
matches of 3
proceed on 3
expect much 3
by four 3
no instrument 3
How unlucky 3
support herself 3
feelings had 3
to tenderness 3
moment's consideration 3
consider you 3
balls of 3
much you 3
own with 3
on It 3
their guests 3
already in 3
of A 3
all likely 3
your niece 3
her Henry 3
and professions 3
your plan 3
which some 3
many inquiries 3
some sort 3
to estimate 3
being unable 3
so violent 3
leave Bath 3
spread over 3
hint was 3
to My 3
not advise 3
was Well 3
awe of 3
ran into 3
was safely 3
elegancies and 3
is married 3
being missed 3
an attempt 3
reverted to 3
of wandering 3
point but 3
the scrape 3
is we 3
continued though 3
formerly in 3
in Gloucestershire 3
window He 3
was No 3
London where 3
and soothing 3
dinner party 3
Edmund began 3
with manners 3
how acceptable 3
softened voice 3
fortnight after 3
expected you 3
little other 3
very spot 3
more impatient 3
a burst 3
and re 3
an exquisite 3
quite absurd 3
that affection 3
very tired 3
change to 3
them know 3
very silly 3
said much 3
little importance 3
no judge 3
in Willoughby 3
could just 3
people will 3
dear if 3
everybody in 3
false step 3
done pretty 3
many pleasant 3
them To 3
call at 3
us what 3
and arranging 3
Lizzy is 3
of inquiry 3
air the 3
the steady 3
requisite to 3
our new 3
interrupted her 3
therefore Elinor 3
sigh at 3
fix his 3
knew Mr 3
Nay if 3
always ready 3
thinking only 3
and distant 3
favourite walk 3
came round 3
own wife 3
Their first 3
I wrote 3
regret her 3
more nice 3
vexed by 3
situation like 3
it need 3
herself while 3
cream cheese 3
Aye very 3
Ferrars has 3
entered and 3
pen in 3
attended the 3
for heaven's 3
not open 3
place He 3
winter I 3
mean as 3
law had 3
know anything 3
He ought 3
comprehending the 3
weather but 3
agitated by 3
Marianne from 3
end well 3
whether any 3
out quite 3
have worn 3
moment came 3
ended all 3
entered at 3
together He 3
Fanny began 3
her brain 3
home could 3
shall call 3
the flutter 3
When do 3
They passed 3
Knightley were 3
farther opposition 3
by circumstances 3
no distinction 3
a yard 3
the stable 3
her secret 3
and allowing 3
pleasure When 3
might hear 3
a fear 3
cause and 3
had proceeded 3
interest was 3
fit up 3
day it 3
day if 3
Yes added 3
own disposal 3
its situation 3
everything I 3
If that 3
error of 3
now if 3
or near 3
the saloon 3
will She 3
mind at 3
place Fanny 3
towards that 3
Elton of 3
recommend himself 3
and admiration 3
name to 3
so heavy 3
unhappy in 3
right you 3
within its 3
a bold 3
by receiving 3
have dear 3
last on 3
her compliments 3
ways than 3
little circle 3
man does 3
most probable 3
too cold 3
seat as 3
seat at 3
sure And 3
any influence 3
or feel 3
it while 3
so public 3
Forster the 3
screened from 3
The dinner 3
with Lucy 3
do too 3
every proof 3
acknowledged by 3
else that 3
else than 3
or all 3
Bennet she 3
longer an 3
now left 3
resisted the 3
a horror 3
circumstance occurred 3
and dancing 3
ill looking 3
The surprise 3
there our 3
can they 3
your favourite 3
countenance that 3
am out 3
claim the 3
better informed 3
felt them 3
language and 3
a fortunate 3
melancholy change 3
distant and 3
separation of 3
service in 3
astonishment which 3
guarded in 3
Wickham who 3
good advice 3
he the 3
an agreement 3
rank as 3
door had 3
she let 3
the charms 3
Longbourn Elizabeth 3
more readily 3
with tender 3
not The 3
that praise 3
and learning 3
expecting the 3
she resumed 3
nobody knew 3
her instead 3
soon perceived 3
consequence so 3
in disposition 3
part could 3
its proprietor 3
every speech 3
every attachment 3
Indeed Mr 3
Betsey and 3
green and 3
should pass 3
time Mrs 3
be impatient 3
separated from 3
The night 3
he resumed 3
caught and 3
and dirt 3
so lost 3
in expressing 3
no companion 3
with eyes 3
dear replied 3
his continued 3
statement of 3
first idea 3
very unpleasant 3
which when 3
compliment which 3
like hers 3
still love 3
and met 3
sure Jane 3
his hearers 3
no similar 3
Churchill at 3
sinking under 3
voice there 3
promised that 3
for bringing 3
seized her 3
understanding must 3
they make 3
eyes for 3
was calm 3
She supposed 3
Miss Bickerton 3
and constant 3
Behold him 3
of hands 3
as anxious 3
serious reflection 3
more extensive 3
of Eleanor's 3
Marianne by 3
tis a 3
ladies that 3
so comfortable 3
charming women 3
chief consolation 3
and rode 3
knew had 3
inform him 3
be informed 3
expense to 3
pronounced her 3
state that 3
be exposed 3
with strong 3
my affection 3
abroad had 3
He protested 3
hopeless of 3
get hold 3
now entered 3
different character 3
natural as 3
his income 3
using the 3
of humanity 3
are pretty 3
bear that 3
my letters 3
she imagined 3
Yes to 3
come a 3
and gladly 3
for drawing 3
with occasional 3
the compliments 3
day They 3
though all 3
Thomas a 3
curiosity which 3
vain Mr 3
point on 3
way towards 3
likely for 3
when suddenly 3
him CHAPTER 3
a caution 3
to need 3
information about 3
Fairfax should 3
together The 3
during her 3
health was 3
under one 3
Woodhouse she 3
himself said 3
soon allowed 3
own father 3
consideration I 3
deal the 3
of St 3
partner in 3
no delay 3
only security 3
it Come 3
Could not 3
advisable for 3
without hearing 3
To Marianne 3
which SHE 3
little difference 3
perfectly true 3
fair sister 3
husband He 3
interval in 3
forgive him 3
As Mrs 3
your question 3
most forcibly 3
Weston But 3
their young 3
demure and 3
and chusing 3
emotion she 3
The plan 3
did The 3
the bearer 3
Margaret and 3
her departure 3
entreating him 3
a work 3
her took 3
us but 3
face she 3
of fresh 3
moment Oh 3
Yes you 3
is another 3
figure in 3
Oh My 3
her speaking 3
of ours 3
Street that 3
was natural 3
length there 3
could more 3
another quarter 3
Crawford listened 3
nor more 3
enough recovered 3
Her curiosity 3
an imagination 3
indeed there 3
great civility 3
misapprehension of 3
The pain 3
behaviour is 3
kind replied 3
by taking 3
continuing her 3
and literary 3
one reads 3
side he 3
most distressing 3
extorted from 3
point with 3
keep to 3
her liking 3
friendliness of 3
means in 3
think Henry 3
Emma for 3
business the 3
would convince 3
a worse 3
changed into 3
than have 3
addition at 3
His situation 3
general it 3
staying in 3
take an 3
many particulars 3
Mr William 3
thing were 3
forgotten in 3
evening that 3
said Crawford 3
so cried 3
with agitation 3
the quadrangle 3
disturb her 3
happiness it 3
happiness is 3
restraint of 3
much satisfaction 3
reasonably hope 3
when Colonel 3
doors were 3
particulars but 3
now beginning 3
Without any 3
flutter and 3
question whether 3
imagine the 3
with true 3
say Do 3
therefore instead 3
very tolerable 3
day Mrs 3
be plagued 3
great joy 3
tenderness in 3
The lock 3
tired to 3
oh no 3
country as 3
and brother 3
a recollection 3
pain in 3
road which 3
possibly could 3
she receives 3
differing in 3
her imprudence 3
speeches to 3
but much 3
is dead 3
in confidence 3
success in 3
I you 3
cheerfully and 3
guest and 3
time were 3
Edmund might 3
the sensations 3
fell from 3
truth as 3
so foolishly 3
rooms I 3
of letter 3
every chance 3
pleasure The 3
down but 3
retirement and 3
so grave 3
not liking 3
had fancied 3
her congratulations 3
is staying 3
then sat 3
farther notice 3
when Elinor 3
fine place 3
it easier 3
handsome She 3
place from 3
to conjecture 3
has found 3
him Well 3
loves to 3
his late 3
might once 3
an idle 3
no small 3
great inconvenience 3
their treatment 3
least ten 3
gentleman to 3
other Emma 3
her arms 3
character It 3
admire your 3
any thought 3
Emma herself 3
Tilney at 3
common life 3
then his 3
before Her 3
Emily and 3
not propose 3
party round 3
THAT would 3
resumed the 3
had either 3
you forget 3
per annum 3
looked after 3
in affection 3
house will 3
chapel was 3
been aware 3
questions to 3
much affected 3
often it 3
doomed to 3
grief was 3
wear it 3
and cousins 3
of feature 3
company as 3
was uttered 3
be cried 3
her justice 3
says the 3
lively girl 3
a circulating 3
speaking more 3
her books 3
own gratification 3
every sensation 3
would Mr 3
a liberal 3
these several 3
Darcy seemed 3
who ought 3
no sentiment 3
recovered her 3
and London 3
I here 3
they was 3
were turned 3
continued as 3
by increasing 3
as loud 3
sure enough 3
whenever you 3
her Your 3
gone He 3
some excuse 3
were directed 3
poor friend 3
ago had 3
poor Edward 3
would satisfy 3
till one 3
play so 3
growth of 3
expressions or 3
he next 3
and ladies 3
longer when 3
difficulty was 3
elegant woman 3
might even 3
of authority 3
expect some 3
returning home 3
be saving 3
discover the 3
is also 3
mind could 3
Mansfield were 3
on paper 3
But all 3
any but 3
friends again 3
allowing her 3
watched the 3
anything be 3
gratitude of 3
himself more 3
parlour where 3
friendship as 3
admitted it 3
might really 3
take to 3
go very 3
pass between 3
distinction and 3
chamber and 3
of weather 3
I almost 3
take another 3
smile was 3
partner was 3
and excellent 3
gratitude towards 3
themselves up 3
was justified 3
He believed 3
and encouraging 3
in little 3
extensive grounds 3
be shewn 3
advise her 3
Ferrars can 3
so strange 3
to without 3
quite on 3
overcome and 3
don't say 3
subject might 3
ill But 3
promised her 3
society for 3
with anger 3
silence It 3
bordering on 3
their ways 3
by asking 3
as thoroughly 3
imagine there 3
say whether 3
you every 3
did such 3
a broader 3
capable as 3
the guest 3
awe and 3
them till 3
garden to 3
watched them 3
only at 3
Three months 3
was quickly 3
do Emma 3
bowed and 3
last as 3
moreover she 3
to comply 3
against one 3
situations and 3
not dared 3
leave any 3
morning by 3
style which 3
former days 3
never suffered 3
known how 3
hardly get 3
Crawford walked 3
manners It 3
me last 3
admitted a 3
Hartfield before 3
favourable idea 3
the study 3
ill qualified 3
penetration and 3
all times 3
though Fanny 3
habits that 3
by both 3
same good 3
seat by 3
interest on 3
interest or 3
silent indignation 3
moments when 3
so altered 3
resemblance to 3
please them 3
her Nothing 3
meanwhile went 3
was forbidden 3
to approach 3
inquire if 3
returned she 3
so thoughtful 3
is fortunate 3
another he 3
did by 3
folly which 3
as steady 3
I DID 3
or nine 3
given way 3
supply her 3
To such 3
be kind 3
us how 3
the sensibility 3
that human 3
begun at 3
day were 3
subsisting between 3
laughing I 3
too hasty 3
parties were 3
first person 3
house under 3
also a 3
who all 3
face than 3
could meet 3
closed on 3
not pity 3
of calm 3
London had 3
not eat 3
your modesty 3
They shall 3
shewing that 3
any pain 3
little consequence 3
was astonishing 3
side He 3
The scene 3
domestic felicity 3
service was 3
in Oxford 3
and resentment 3
him Poor 3
yes in 3
a crisis 3
water colours 3
and shut 3
and plays 3
mentioning it 3
at Everingham 3
and gradually 3
and support 3
should prefer 3
Darcy than 3
The compliment 3
considerable a 3
keep herself 3
now almost 3
was taught 3
The younger 3
such attention 3
patronage of 3
come but 3
lest they 3
the voluntary 3
whom of 3
he you 3
consult with 3
very name 3
anything or 3
In town 3
that interested 3
should write 3
true as 3
at twelve 3
so again 3
me is 3
enjoyments of 3
all would 3
the painful 3
Elinor without 3
living at 3
pity and 3
pen to 3
almost entirely 3
or sister 3
how good 3
fitted to 3
a fortune 3
the fault 3
Marianne's and 3
when Henry 3
hearted girl 3
meadows and 3
the fortunes 3
second week 3
but am 3
him completely 3
inquired of 3
do less 3
weeks with 3
prevent my 3
animated look 3
open hearted 3
of advice 3
propriety to 3
go She 3
not meant 3
to or 3
Robert's offence 3
kept them 3
and telling 3
first saw 3
companion was 3
attendance and 3
and expression 3
rapidly as 3
one quarter 3
rightly by 3
home you 3
some new 3
comfort me 3
your honour 3
of folly 3
case he 3
resentment towards 3
making light 3
sister's health 3
counsel of 3
to affront 3
counsel or 3
to new 3
second was 3
system of 3
they gained 3
treat the 3
could that 3
is plain 3
grown into 3
to ME 3
and cold 3
deceived by 3
however Miss 3
afforded no 3
off her 3
you received 3
one arm 3
animation which 3
most agreeably 3
comfort you 3
violation of 3
otherwise in 3
go over 3
to repent 3
happiness would 3
visit afforded 3
she met 3
fortnight with 3
her dependence 3
Mrs Martin's 3
look very 3
any day 3
us we 3
of Elinor's 3
smart beaux 3
though often 3
delightful indeed 3
could judge 3
brother does 3
you still 3
he sought 3
behaviour during 3
disposition as 3
more attention 3
too fair 3
hour the 3
elegantly dressed 3
till roused 3
of recent 3
connexion for 3
arm within 3
Highbury as 3
sure not 3
being tired 3
was sixteen 3
altogether so 3
yet almost 3
followed of 3
such commendation 3
imprudent and 3
hear enough 3
ought But 3
Edward's affection 3
passed near 3
mile apart 3
and putting 3
have attached 3
force and 3
saw on 3
no trifling 3
to fulfil 3
apologies and 3
seat of 3
has told 3
white attic 3
dancing days 3
almost equally 3
be fit 3
she burst 3
Street by 3
fail to 3
contributing to 3
such reason 3
his abilities 3
least be 3
no friends 3
be Miss 3
takes her 3
Julia but 3
of tranquillity 3
had involved 3
was off 3
well had 3
where sat 3
arrived for 3
heart swelled 3
brother the 3
I honestly 3
not disappoint 3
directions and 3
The children 3
ten couple 3
been seeing 3
am that 3
were yet 3
this necklace 3
my excuses 3
seize the 3
and fancy 3
Barton was 3
encouraging the 3
ladies had 3
ran to 3
ma'am that 3
been heard 3
this means 3
any attachment 3
Highbury to 3
have explained 3
else for 3
limited means 3
of indecision 3
six o'clock 3
enjoy it 3
accomplished as 3
reproof of 3
exercise for 3
man ought 3
heartily sorry 3
interfere with 3
felt much 3
as young 3
inferior society 3
Emma laughed 3
sacrifice on 3
the shrubberies 3
it One 3
her With 3
his affairs 3
her's and 3
pursued by 3
are ill 3
own convenience 3
that upon 3
was held 3
began It 3
a check 3
waited at 3
strong attachment 3
most thankfully 3
could stand 3
the hardship 3
hand was 3
at Clifton 3
particular to 3
a soft 3
Towards the 3
overcame the 3
all hazards 3
two there 3
attachment between 3
smile as 3
on going 3
real cause 3
pleasantly and 3
mere trifle 3
emotion but 3
Yes But 3
no trifle 3
he wants 3
pleasant one 3
in parliament 3
not complain 3
speeches and 3
winter to 3
disappointment had 3
ride over 3
Hartfield that 3
natured woman 3
unhappy she 3
road The 3
least equally 3
years with 3
sent his 3
avoid him 3
later than 3
this Miss 3
days afterwards 3
in she 3
Lucy you 3
despise her 3
Emma's side 3
misery she 3
handsome a 3
my lord 3
tells us 3
place It 3
hour they 3
cried Lydia 3
therefore nothing 3
break it 3
than Elizabeth 3
suppose when 3
asked Marianne 3
blue eyes 3
be supported 3
her resolve 3
injured the 3
and hallooing 3
you thinking 3
evening brought 3
required by 3
off this 3
the entire 3
intimation of 3
bestow it 3
could answer 3
else But 3
took to 3
a design 3
an ecstasy 3
you Is 3
a wretched 3
servant with 3
and disdain 3
can remember 3
by too 3
however when 3
unkindness of 3
game I 3
that great 3
heart With 3
intended as 3
of following 3
in quiet 3
in returning 3
particular way 3
a farther 3
before But 3
may easily 3
boarder at 3
fortnight was 3
but Harriet 3
post by 3
and grateful 3
drove through 3
particular regard 3
it have 3
those sort 3
their entering 3
half their 3
appear of 3
must draw 3
well settled 3
admiration as 3
will amuse 3
Elton no 3
must return 3
how we 3
me one 3
Dear madam 3
near you 3
